route_id,source,destination,variant,traffic_distance_m,traffic_duration_min,temp,tempmin,tempmax,humidity,windspeed,conditions,is_weekend,traffic_pressure,traffic_efficiency,day_of_week,hour_of_day
9,Hyderabad,Banjara Hills,C,7606.72,20.891,25.72,21.09,27.15,58.95,3.8,0,0,11.864,0.364112,1,9
78,Madhapur,Airport,C,25206.47,74.567,33.6,28.01,34.72,40.6,5.54,1,0,15.975,0.338038,5,17
54,Secunderabad,Banjara Hills,C,20383.32,82.863,31.33,29.27,33.67,72.22,7.27,2,1,26.343,0.245987,7,8
69,Uppal,Secunderabad,C,25330.84,81.805,25.04,20.51,26.8,55.73,5.92,2,0,17.439,0.309648,3,5
31,Gachibowli,Madhapur,A,11648.52,17.206,24.49,22.2,26.34,68.34,12.77,1,0,3.545,0.676988,5,19
129,Jubilee Hills,Banjara Hills,C,34793.54,84.506,28.48,23.65,29.94,71.83,5.21,0,0,8.744,0.411729,3,22
91,KPHB,Airport,A,24171.44,30.283,33.33,28.22,37.29,45.36,5.03,0,0,2.005,0.798189,1,11
110,Dilsukhnagar,Gachibowli,B,30978.1,49.7,32.98,27.62,35.71,52.95,3.05,1,0,4.813,0.623298,4,13
102,LB Nagar,Banjara Hills,C,33275.98,66.677,36.8,31.54,39.4,66.12,6.38,0,1,7.214,0.499063,6,22
71,Uppal,Financial District,B,21420.9,44.834,30.43,25.88,33.56,81.59,2.09,0,1,6.028,0.477777,7,10
92,KPHB,Airport,B,27380.73,52.239,25.62,21.76,27.9,47.6,6.67,0,0,5.495,0.524143,5,19
105,Dilsukhnagar,Airport,C,32165.67,89.858,29.57,26.22,33.22,79.55,4.98,1,0,12.571,0.35796,4,5
38,Gachibowli,Airport,B,14153.07,21.77,31.39,29.28,35.18,55.65,0.34,0,0,3.692,0.650121,4,2
112,Kondapur,Financial District,A,29547.91,41.028,23.62,17.89,24.75,90.0,9.99,2,0,3.332,0.720196,1,15
127,Jubilee Hills,Banjara Hills,A,32481.76,44.249,32.38,30.03,34.98,58.28,3.49,2,0,3.269,0.73407,2,1
4,Hyderabad,Madhapur,A,5527.16,7.829,30.37,24.51,31.84,48.88,12.54,0,0,2.719,0.706026,2,19
79,Madhapur,BHEL,A,22544.59,30.702,30.5,26.11,33.98,64.69,5.7,1,0,2.724,0.734307,4,2
109,Dilsukhnagar,Gachibowli,A,27861.59,33.708,34.0,29.32,37.58,81.22,7.06,0,1,1.936,0.826558,7,3
118,Airport,Gachibowli,A,30844.71,34.688,25.52,21.06,27.8,91.92,0.56,2,0,2.699,0.889197,3,21
127,Jubilee Hills,Banjara Hills,A,32517.46,42.714,24.97,22.85,28.78,72.21,6.87,2,0,3.153,0.76129,2,5
18,Hyderabad,Kukatpally,C,9100.74,36.39,25.65,20.66,29.18,80.17,12.12,0,0,17.274,0.250091,5,9
128,Jubilee Hills,Banjara Hills,B,34575.64,72.833,34.77,29.28,35.89,55.06,2.73,1,0,6.319,0.474723,1,5
39,Gachibowli,Airport,C,15212.55,39.562,32.91,28.56,36.22,70.05,3.02,0,0,9.362,0.384524,3,1
