source,destination,route_id,traffic_distance_m,traffic_duration_min,temp,tempmin,tempmax,humidity,windspeed,conditions,is_weekend,traffic_pressure,traffic_efficiency,day_of_week
Hyderabad,Gachibowli,1.0,0.791654,0.600682,0.365172,0.118644,0.333333,0.640675,0.113638,0.0,0,0.520983,1.664773,4
Hyderabad,Gachibowli,1.0,0.811998,0.731555,0.166817,0.0,0.272727,0.588191,0.034955,0.0,0,0.609568,1.36695,1
Hyderabad,Gachibowli,1.0,0.770861,0.434059,0.186155,0.084746,0.363636,0.753091,0.273882,1.0,1,0.411553,2.303831,6
Hyderabad,Gachibowli,1.0,0.748688,0.373626,0.454258,0.338983,0.515152,0.682072,0.018127,1.0,1,0.291198,2.676468,7
Hyderabad,Gachibowli,1.0,0.758895,0.453323,0.594597,0.542373,0.757576,0.758808,0.172126,1.0,1,0.390516,2.205928,6
Hyderabad,Gachibowli,1.0,0.740033,0.386334,0.480363,0.372881,0.787879,0.61913,0.198567,0.0,1,0.344266,2.588429,7
Hyderabad,Gachibowli,1.0,0.760592,0.572457,0.395839,0.254237,0.818182,0.518671,0.212717,1.0,0,0.528878,1.746853,3
Hyderabad,Gachibowli,1.0,0.715403,0.642701,0.682606,0.423729,1.0,0.59254,0.121261,1.0,0,0.55146,1.555931,2
Hyderabad,Gachibowli,1.0,0.743826,0.62229,0.688629,0.644068,0.818182,0.623628,0.223913,1.0,0,0.564031,1.606966,3
Hyderabad,Gachibowli,1.0,0.739088,0.398872,0.831661,0.915254,0.424242,0.601644,0.284484,0.5,1,0.330345,2.507061,6
Hyderabad,Gachibowli,1.0,0.744754,0.471291,0.444891,0.661017,0.454545,0.708505,0.520195,0.5,1,0.43958,2.121826,6
Hyderabad,Gachibowli,1.0,0.785783,0.675257,0.634807,0.627119,0.757576,0.60025,0.651862,1.0,0,0.695093,1.480916,4
Hyderabad,Gachibowli,1.0,0.684061,0.35747,0.251931,0.372881,0.454545,0.449021,1.0,0.5,1,0.3897,2.797427,7
Hyderabad,Gachibowli,1.0,0.747245,0.401893,0.249405,0.220339,0.242424,0.401806,0.771151,0.5,1,0.440735,2.488217,6
Hyderabad,Gachibowli,2.0,0.750144,0.377265,0.439904,0.118644,0.333333,0.62356,0.154626,0.0,1,0.334506,2.650647,7
Hyderabad,Gachibowli,2.0,0.728443,0.498527,0.126124,0.0,0.272727,0.601021,0.08952,0.0,0,0.45956,2.005904,5
Hyderabad,Gachibowli,2.0,0.745969,0.648921,0.128009,0.050847,0.242424,0.595043,0.278217,1.0,0,0.607544,1.541018,1
Hyderabad,Gachibowli,2.0,0.755787,0.392672,0.184632,0.084746,0.363636,0.689744,0.231531,1.0,1,0.313749,2.546651,7
Hyderabad,Gachibowli,2.0,0.737956,0.351843,0.473511,0.338983,0.515152,0.664779,0.085644,1.0,1,0.282753,2.842171,7
Hyderabad,Gachibowli,2.0,0.745842,0.630432,0.590214,0.542373,0.757576,0.596284,0.119291,1.0,0,0.555186,1.586212,4
Hyderabad,Gachibowli,2.0,0.756537,0.662132,0.505624,0.372881,0.787879,0.54923,0.162915,0.0,0,0.586947,1.51027,4
Hyderabad,Gachibowli,2.0,0.711499,0.705491,0.474635,0.254237,0.818182,0.515892,0.159591,1.0,0,0.634735,1.41745,1
Hyderabad,Gachibowli,2.0,0.728706,0.610832,0.603492,0.423729,1.0,0.552158,0.114301,1.0,0,0.551138,1.637109,1
Hyderabad,Gachibowli,2.0,0.73088,0.405716,0.744083,0.644068,0.818182,0.619994,0.205188,1.0,1,0.33365,2.464774,7
Hyderabad,Gachibowli,2.0,0.735663,0.691893,0.692223,0.915254,0.424242,0.677543,0.286921,0.5,0,0.606223,1.445308,3
Hyderabad,Gachibowli,2.0,0.787093,0.549197,0.570945,0.661017,0.454545,0.756166,0.508497,0.5,0,0.539144,1.820838,5
Hyderabad,Gachibowli,2.0,0.719663,0.443767,0.688631,0.627119,0.757576,0.492158,0.645542,1.0,1,0.40951,2.25343,6
Hyderabad,Gachibowli,2.0,0.789616,0.333482,0.289867,0.372881,0.454545,0.340211,0.956099,0.5,1,0.350133,2.998658,7
Hyderabad,Gachibowli,2.0,0.801633,0.66137,0.246682,0.220339,0.242424,0.40532,0.753509,0.5,0,0.690764,1.512011,1
Hyderabad,Gachibowli,3.0,0.736098,0.505768,0.328033,0.118644,0.333333,0.600989,0.205654,0.0,0,0.475767,1.977185,3
Hyderabad,Gachibowli,3.0,0.734305,0.657104,0.140332,0.0,0.272727,0.612814,0.074441,0.0,0,0.585837,1.521828,1
Hyderabad,Gachibowli,3.0,0.730347,0.580941,0.189592,0.050847,0.242424,0.594403,0.327672,1.0,0,0.583694,1.721342,5
Hyderabad,Gachibowli,3.0,0.757154,0.677272,0.168798,0.084746,0.363636,0.720323,0.284376,1.0,0,0.597596,1.47651,4
Hyderabad,Gachibowli,3.0,0.751956,0.369016,0.443753,0.338983,0.515152,0.69751,0.025818,1.0,1,0.318067,2.709901,7
Hyderabad,Gachibowli,3.0,0.787599,0.657855,0.640173,0.542373,0.757576,0.75323,0.090148,1.0,0,0.56592,1.520088,2
Hyderabad,Gachibowli,3.0,0.743084,0.386657,0.459684,0.372881,0.787879,0.483327,0.240791,0.0,1,0.322266,2.586268,7
Hyderabad,Gachibowli,3.0,0.728166,0.414161,0.511269,0.254237,0.818182,0.589671,0.188235,1.0,1,0.382574,2.414515,7
Hyderabad,Gachibowli,3.0,0.745912,0.537479,0.519038,0.423729,1.0,0.446819,0.097938,1.0,0,0.488644,1.860535,5
Hyderabad,Gachibowli,3.0,0.742579,0.691707,0.779356,0.644068,0.818182,0.578847,0.177819,1.0,0,0.623651,1.445697,1
Hyderabad,Gachibowli,3.0,0.758767,0.559907,0.712963,0.915254,0.424242,0.618439,0.218393,0.5,0,0.529875,1.786008,2
Hyderabad,Gachibowli,3.0,0.763505,0.539963,0.673196,0.661017,0.454545,0.840585,0.571086,0.5,0,0.530668,1.851975,5
Hyderabad,Gachibowli,3.0,0.726003,0.674171,0.588248,0.627119,0.757576,0.515234,0.634376,1.0,0,0.702051,1.483302,1
Hyderabad,Gachibowli,3.0,0.742388,0.616036,0.297466,0.372881,0.454545,0.365231,0.931386,0.5,0,0.702616,1.623278,1
Hyderabad,Gachibowli,3.0,0.78062,0.542169,0.217207,0.220339,0.242424,0.336399,0.748692,0.5,0,0.549948,1.84444,3
Hyderabad,LB Nagar,1.0,0.533717,0.415261,0.247493,0.101695,0.060606,0.769117,0.128048,0.0,1,0.357819,2.408118,6
Hyderabad,LB Nagar,1.0,0.57339,0.65495,0.073343,0.050847,0.0,0.965106,0.050965,0.0,0,0.573742,1.526831,5
